Sp;Type;gf;soluble;hemi.cellulose;cellulose;lignines;NperMS;CperMS;cendres;Ca;Mg;P;Mn;K
F.o.;PS;Grass;0,320397844867679;0,3508925073976966;0,2883771756199462;0,04033247211467782;0,0080;0,4237;0,000000000000000000;10,043;0,682;3,048;0,0184;16,266
M.s.;PS;Legumes;0,596157120392387;0,1577511248467239;0,1829913048221997;0,06228519298716834;0,0094;0,4181;0,000815256951521290;2,515;1,415;3,272;0,0485;14,852
M.s.;PS;Legumes;0,593661323420668;0,1646740952453082;0,1860603413810626;0,05478898300144001;0,0094;0,4181;0,000815256951521290;2,515;1,415;3,272;0,0485;14,852
G.v.;PS;Forb;0,689144052357001;0,1081238078758260;0,1193867045295579;0,08259306698755568;0,0141;0,4224;0,000752368250059916;11,788;1,769;3,312;0,0411;23,212
A.o.;PA;Grass;0,613012680314800;0,1873833337423071;0,1955304352093639;0,00230231926154178;0,0185;0,4011;0,001771231471986643;13,903;1,801;4,342;0,0178;47,583
P.l.;PA;Forb;0,737552193202852;0,0568942797951859;0,1394827504656170;0,06360797509971051;0,0130;0,3829;0,002462801436634143;22,207;2,177;2,930;0,0123;43,135
L.c.;PA;Legumes;0,560162011083658;0,1075159528462171;0,1583416760098831;0,17251653739190215;0,0109;0,4083;0,001463822668339804;16,825;2,465;5,495;0,0094;37,477
M.s.;PS;Legumes;0,604738302188417;0,1511294726926641;0,1801928328258687;0,06312413534152857;0,0094;0,4181;0,000815256951521290;2,515;1,415;3,272;0,0485;14,852
C.n.;PS;Forb;0,778410559611684;0,0521386918560744;0,1247604412270349;0,04373901354569373;0,0062;0,4048;0,000951293759512861;4,259;0,974;3,440;0,0992;24,329
L.c.;PA;Legumes;0,689130685424085;0,0702529524465344;0,1879266477944798;0,05122589166656114;0,0109;0,4083;0,001463822668339804;16,825;2,465;5,495;0,0094;37,477
F.o.;PA;Grass;0,326136508667523;0,3273051243614891;0,3369317456662387;0,00886582754325850;0,0094;0,4319;0,000760793761491185;6,898;1,118;2,253;0,0098;22,432
P.l.;PS;Forb;0,616078280325691;0,0848669064543208;0,2000434223566139;0,09717578635836541;0,0139;0,3876;0,001835604505008944;12,922;2,216;4,323;0,0146;46,177
H.l.;PA;Grass;0,448789224248083;0,2733276573976451;0,2733276573976446;0,00318162013482091;0,0115;0,4102;0,001373840821806505;10,728;1,942;6,025;0,0101;30,640
M.a.;PA;Legumes;0,790323805253720;0,0499229035110192;0,1317964652690904;0,02591196101881837;0,0097;0,3997;0,002044864947352363;24,467;3,173;5,904;0,0122;26,231
D.g.;PA;Grass;0,437369063640563;0,2551059525108009;0,3075249838486367;NA;0,0089;0,4148;0,001522507253454290;10,353;1,560;2,668;0,0088;35,458
M.s.;PA;Legumes;0,768752875064953;0,0624000178396159;0,1358118035332814;0,03186327977006667;0,0079;0,4292;0,001172023792082955;8,878;0,811;3,565;0,0043;18,293
H.l.;PS;Grass;0,216382781422074;0,4348645004196185;0,3186135943668491;0,02955681435222264;0,0056;0,4386;0,000582309439236101;2,406;0,360;1,544;0,0113;9,925
T.r.;PA;Legumes;0,757974741822863;0,0501493778204879;0,1526285411927889;0,03637332217241892;0,0189;0,3679;0,002874016991441148;40,444;2,255;6,164;0,0101;36,127
C.n.;PA;Forb;0,766582485313590;0,1053477278673178;0,1115446530359834;0,01457304860120997;0,0103;0,4185;0,001952085181898710;23,703;1,578;1,531;0,0377;28,107
G.v.;PA;Forb;0,704614665187450;0,1053472173107698;0,1115441124466972;0,07791661110929679;0,0124;0,4437;0,000577393945786553;9,490;0,841;1,859;0,0144;18,785
R.a.;PS;Forb;0,763024307973990;0,0651683153071528;0,1184878460130048;0,05245383321250986;0,0065;0,4309;0,000865697493342412;9,489;1,233;2,829;0,3000;11,183
R.a.;PS;Forb;0,766962217649176;0,0629831844191417;0,1259663688382832;0,04322253160005680;0,0065;0,4309;0,000865697493342412;9,489;1,233;2,829;0,3000;11,183
