"Numero","Bloc","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.15N","APE15Nppm","APE13Cppm"
"15","B","T.r.","P","Legumes",0.377026,1.07466,0.3678945,91.3149999999996,2.36666666666663
"17","B","F.o.","P+L","Grass",0.374159,1.07493,0.367833666666667,63.2533333333335,5.06666666666655
"18","B","A.o.","P+L","Grass",0.372542,1.07462,0.367833666666667,47.0833333333331,1.96666666666623
"19","B","D.g.","P+L","Grass",0.381664,1.07446,0.367833666666667,138.303333333333,0.366666666666848
"20","B","H.l.","P+L","Grass",0.378453,1.07447,0.367833666666667,106.193333333333,0.466666666667503
"21","B","G.v.","P+L","Forb",0.379673,1.07459,0.3678848,117.882,1.66666666666648
"23","B","P.l.","P+L","Forb",0.388442,1.07481,0.3678848,205.572,3.86666666666757
"24","B","C.n.","P+L","Forb",0.37581,1.07495,0.3678848,79.2519999999997,5.26666666666786
"25","B","R.a.","P+L","Forb",0.367998,1.07471,0.3678848,1.1319999999998,2.86666666666768
"26","B","M.a.","P+L","Legumes",0.37256,1.07519,0.3678945,46.6549999999999,7.66666666666804
"27","B","T.p.","P+L","Legumes",0.37826,1.07489,0.3678945,103.655,4.66666666666615
"28","B","L.c.","P+L","Legumes",0.377698,1.07496,0.3678945,98.0349999999997,5.3666666666663
"29","B","M.s.","P+L","Legumes",0.378161,1.07421,0.3678945,102.665,-2.13333333333177
"30","B","T.r.","P+L","Legumes",0.389335,1.07452,0.3678945,214.405,0.966666666666338
"32","B","F.o.","L","Grass",0.38373,1.07454,0.367833666666667,158.963333333333,1.16666666666765
"33","B","A.o.","L","Grass",0.377434,1.07446,0.367833666666667,96.0033333333332,0.366666666666848
"34","B","D.g.","L","Grass",0.388742,1.07468,0.367833666666667,209.083333333333,2.56666666666794
"35","B","H.l.","L","Grass",0.375362,1.07452,0.367833666666667,75.283333333333,0.966666666666338
"36","B","G.v.","L","Forb",0.375275,1.0748,0.3678848,73.9020000000001,3.76666666666692
"38","B","P.l.","L","Forb",0.380163,1.0754,0.3678848,122.782,9.76666666666626
"39","B","C.n.","L","Forb",0.379331,1.07433,0.3678848,114.462,-0.933333333332786
"40","B","R.a.","L","Forb",0.379028,1.07451,0.3678848,111.432,0.866666666667903
"41","B","M.a.","L","Legumes",0.375184,1.07431,0.3678945,72.895,-1.13333333333188
"42","B","T.p.","L","Legumes",0.378187,1.07453,0.3678945,102.925,1.06666666666699
"43","B","L.c.","L","Legumes",0.382119,1.0743,0.3678945,142.245,-1.23333333333253
"44","B","M.s.","L","Legumes",0.374849,1.07434,0.3678945,69.5449999999997,-0.833333333332131
"45","B","T.r.","L","Legumes",0.38769,1.07438,0.3678945,197.955,-0.433333333333952
"46","B",NA,"T","Temoins",0.36814,1.07448,0.3680605,0.795000000000101,0.566666666668159
"47","B",NA,"T","Temoins",0.367981,1.07407,0.3680605,-0.795000000000101,-3.53333333333206
"1","C","N.s.","P","Grass",0.367332,1.07449,0.367205,1.26999999999988,0.666666666666593
"2","C","F.o.","P","Grass",0.367244,1.07468,0.367205,0.390000000000112,2.56666666666794
"3","C","A.o.","P","Grass",0.367214,1.07463,0.367205,0.0899999999998125,2.06666666666688
"4","C","D.g.","P","Grass",0.367148,1.07462,0.367205,-0.570000000000292,1.96666666666623
"5","C","H.l.","P","Grass",0.367087,1.07451,0.367205,-1.18000000000007,0.866666666667903
"6","C","G.v.","P","Forb",0.367195,1.07496,0.3672216,-0.265999999999877,5.3666666666663
"7","C","C.r.","P","Forb",0.367216,1.07453,0.3672216,-0.055999999999945,1.06666666666699
"8","C","P.l.","P","Forb",0.367341,1.07457,0.3672216,1.19399999999992,1.46666666666739
"9","C","C.n.","P","Forb",0.367341,1.07426,0.3672216,1.19399999999992,-1.63333333333293
"10","C","R.a.","P","Forb",0.367015,1.07482,0.3672216,-2.06600000000001,3.96666666666823
"11","C","M.a.","P","Legumes",0.367145,1.07451,0.3672218,-0.76799999999988,0.866666666667903
"12","C","T.p.","P","Legumes",0.367307,1.07459,0.3672218,0.852000000000075,1.66666666666648
"13","C","L.c.","P","Legumes",0.36721,1.07416,0.3672218,-0.118000000000062,-2.63333333333282
"14","C","M.s.","P","Legumes",0.36722,1.0746,0.3672218,-0.0179999999999625,1.76666666666714
"15","C","T.r.","P","Legumes",0.367227,1.07465,0.3672218,0.0520000000003851,2.26666666666819
"17","C","F.o.","P+L","Grass",0.37728,1.0747,0.367205,100.75,2.76666666666703
"18","C","A.o.","P+L","Grass",0.384402,1.07481,0.367205,171.97,3.86666666666757
