Id;Numero;Bloc;Sp;mod;gf;NemPerGSoil;NemPerM2;Anguinidae-Ditylenchus;Aphelenchidae;Aphelenchoididae;Aporcelaimidae;Cephalobidae;Dorylaimidae;Hoplolaimidae;Leptonchidae;Meloidogynidae;Monhysteridae;Mononchidae;Panagrolaimidae;Paratylenchidae;Plectidae;Pratylenchidae;Prismatolaimidae;Qudsianematidae;Rhabditidae;Telotylenchidae;Teratocephalidae;Tylenchidae
35C;35;C;H.l.;L;Grass;2,571350414881007;143995,6232333364;0,0000;0,0000;0,0200;0,0000;0,6600;0,0000;0,000;0,000;0,0000;0,0800;0,0000;0,0000;0,0200;0,0600;0,0000;0,0000;0,0000;0,1200;0,0000;0,0000;0,0400
36C;36;C;G.v.;L;Forb;4,817936078867865;269804,4204166004;0,0000;0,0375;0,0125;0,0000;0,7375;0,0000;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0750;0,0000;0,0125;0,0000;0,0500;0,0000;0,0000;0,0250
38C;38;C;P.l.;L;Forb;1,478136573322071;82775,6481060360;0,0000;0,0500;0,0000;0,0000;0,7500;0,0000;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0500
39C;39;C;C.n.;L;Forb;17,714484195901353;992011,1149704758;0,0000;0,0000;0,0125;0,0000;0,8375;0,0125;0,000;0,000;0,0000;0,0375;0,0000;0,0000;0,0000;0,0250;0,0125;0,0125;0,0000;0,0375;0,0000;0,0000;0,0125
40C;40;C;R.a.;L;Forb;5,746471536245096;321802,4060297254;0,0000;0,0250;0,0125;0,0000;0,7750;0,0500;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0125;0,0000;0,0000;0,0125
41C;41;C;M.a.;L;Legumes;5,001302247478331;280072,9258587865;0,0000;0,0370;0,0000;0,0000;0,6810;0,0000;0,000;0,000;0,0000;0,0670;0,0000;0,0000;0,0070;0,0740;0,0070;0,0150;0,0070;0,0740;0,0000;0,0070;0,0220
41C;41;C;M.a.;L;Legumes;5,001302247478331;280072,9258587865;0,0000;0,0370;0,0000;0,0000;0,6810;0,0000;0,000;0,000;0,0000;0,0670;0,0000;0,0000;0,0070;0,0740;0,0070;0,0150;0,0070;0,0740;0,0000;0,0070;0,0220
42C;42;C;T.p.;L;Legumes;9,909466819680492;554930,1419021076;0,0000;0,0250;0,0000;0,0000;0,7375;0,0250;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,1000;0,0000;0,0125;0,0000;0,0375;0,0000;0,0125;0,0000
43C;43;C;L.c.;L;Legumes;3,069417623742250;171887,3869295660;0,0000;0,0000;0,0250;0,0000;0,8000;0,0000;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0250;0,0000;0,0250;0,0000;0,0250;0,0000;0,0000;0,0500
44C;44;C;M.s.;L;Legumes;6,793073865924331;380412,1364917626;0,0000;0,0250;0,0125;0,0000;0,7500;0,0125;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0125;0,0500;0,0000;0,0000;0,0000;0,0750;0,0000;0,0000;0,0125
45C;45;C;T.r.;L;Legumes;17,244940793489743;965716,6844354257;0,0000;0,0125;0,0125;0,0000;0,8375;0,0000;0,000;0,000;0,0000;0,0125;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,0250;0,0000;0,0000;0,0000
46C;46;C;NA;T;Temoins;4,227471802763076;236738,4209547323;0,0000;0,0000;0,0125;0,0000;0,8750;0,0250;0,000;0,000;0,0000;0,0250;0,0000;0,0000;0,0000;0,0375;0,0000;0,0250;0,0000;0,0000;0,0000;0,0000;0,0000
47C;47;C;NA;T;Temoins;15,494455415464074;867689,5032659881;0,0000;0,0000;0,0375;0,0000;0,8250;0,0250;0,000;0,000;0,0000;0,0250;0,0000;0,0125;0,0000;0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
