Numero;Bloc;Type;Sp;mod;gf;APE13C;C13CPerGSoil;n13CRhizoPerGSoil
15;C;NF;T.r.;P;Legumes;5,3729166666682797;23,44998712691818;1,25994826667375e-04
17;C;F;F.o.;P+L;Grass;51,1162790697672023;59,90215352580979;3,06197519650533e-03
17;C;NF;F.o.;P+L;Grass;11,9729166666670999;25,86170616612134;3,09640052784802e-04
18;C;F;A.o.;P+L;Grass;116,7162790697680066;61,45113211043856;7,17234748455513e-03
18;C;NF;A.o.;P+L;Grass;20,1729166666675006;23,71833373345721;4,78467969877241e-04
19;C;F;D.g.;P+L;Grass;34,6162790697678986;75,98837467395353;2,63043478377166e-03
19;C;NF;D.g.;P+L;Grass;4,3729166666683899;29,24119714588289;1,27869318352567e-04
20;C;F;H.l.;P+L;Grass;34,4162790697687981;61,21826116437446;2,10690476039910e-03
20;C;NF;H.l.;P+L;Grass;8,2729166666672995;21,25717690917445;1,75858853138205e-04
21;C;F;G.v.;P+L;Forb;75,8162790697670061;62,11135361025395;4,70905171871599e-03
21;C;NF;G.v.;P+L;Forb;6,0729166666684300;19,18553610407581;1,16512161965411e-04
23;C;F;P.l.;P+L;Forb;38,0162790697679966;71,95189034990094;2,73534314313918e-03
23;C;NF;P.l.;P+L;Forb;7,0729166666683199;22,83545343506823;1,61513259191822e-04
24;C;F;C.n.;P+L;Forb;106,7162790697669976;60,30898810684564;6,43595080522540e-03
24;C;NF;C.n.;P+L;Forb;18,5729166666681991;23,85350262170829;4,43029116401139e-04
24;C;NF;C.n.;P+L;Forb;20,4729166666672988;23,87450282050338;4,88780706702279e-04
25;C;F;R.a.;P+L;Forb;112,8162790697670061;69,41462704565483;7,83109993630639e-03
25;C;NF;R.a.;P+L;Forb;10,2729166666671006;20,69679832663498;2,12616484476336e-04
26;C;F;M.a.;P+L;Legumes;403,3162790697679725;74,54362211945370;3,00646563016009e-02
26;C;NF;M.a.;P+L;Legumes;39,5729166666680996;22,97677526939886;9,09258013004682e-04
27;C;F;T.p.;P+L;Legumes;142,7162790697680066;61,85616217397066;8,82788130300522e-03
27;C;NF;T.p.;P+L;Legumes;26,9729166666677003;25,74044339482528;6,94294834651699e-04
28;C;F;L.c.;P+L;Legumes;239,1162790697690070;59,25058782390658;1,41677800931491e-02
28;C;NF;L.c.;P+L;Legumes;34,5729166666685970;19,34551286800993;6,68830804259672e-04
29;C;F;M.s.;P+L;Legumes;377,8162790697670061;64,17915898965097;2,42479310432969e-02
29;C;NF;M.s.;P+L;Legumes;44,0729166666686965;27,25971933889097;1,20141533877972e-03
30;C;F;T.r.;P+L;Legumes;34,1162790697668967;66,16867835042170;2,25742909628063e-03
30;C;NF;T.r.;P+L;Legumes;27,0729166666682985;15,58660433732773;4,21974840340804e-04
