Numero,Bloc,Sp,mod,gf,µmolNetRhizoPerGsoil,µmolGrossRhizoPerGSoil,µmolNetRhizoPerGFineRoot,µmolGrossRhizoPerGFineRoot,PropShoot,PropRoot,PropSoil,PropResp,PropRhizo
1,A,N.s.,P,Grass,0.07745937413917743,0.0851834818319191,811.1526691576768,892.0393357678554,0.38936375848789845,0.01836538934603739,0.5385660288010213,0.053704823365042884,0.5922708521660642
2,A,F.o.,P,Grass,0.051729879111547125,0.06887420196003154,93.24585715700589,124.14941051610357,0.703388241121532,0.19037877676603543,0.0797892268214496,0.026443755290982963,0.10623298211243255
3,A,A.o.,P,Grass,0.0024298233163358245,NA,2.7216267688040428,NA,NA,NA,NA,NA,NA
4,A,D.g.,P,Grass,0.03304255750442667,0.04446582090871905,94.77962496287944,127.54623575461281,0.8550318229195542,0.05218730328894712,0.06894547980706262,0.023835393984436168,0.09278087379149878
5,A,H.l.,P,Grass,0.017086873586269303,0.028555040846675744,26.215812259541014,43.8110334298682,0.8818006080048308,0.034232020757223765,0.05024471389895228,0.03372265733899316,0.08396737123794544
6,A,G.v.,P,Forb,0.08528886703406709,0.0933615029825328,327.1395604797476,358.10349127084646,0.5955807112086567,0.1553424488261887,0.22754005458789772,0.021536785377257037,0.24907683996515476
7,A,C.r.,P,Forb,0.009208776859444703,0.012591369334481711,155.77813854711857,212.9989798453114,0.7847166674050229,0.16330550525377188,0.03801430971555295,0.013963517625652365,0.05197782734120532
8,A,P.l.,P,Forb,0.02391726055395113,0.04086346234434767,48.70074355111118,83.20689552858524,0.7841043474477509,0.10555213050690862,0.06458372873448172,0.04575979331085874,0.11034352204534045
9,A,C.n.,P,Forb,0.02635189913237843,0.03790437918766304,18.774574375494662,27.00521061654131,0.7688125733528078,0.13670379826987927,0.06568694958260805,0.028796678794704923,0.09448362837731297
11,A,M.a.,P,Legumes,0.03962899714924903,0.054264221918042796,112.69230571454499,154.31024566983962,0.7146802177716147,0.16779451265550183,0.0858283489239517,0.03169692064893183,0.11752526957288353
