"Numero","Bloc","Sp","mod","Type","gf","Weight","X","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","APE15N","APE13C"
"1","A","N.s.","P","PA","Grass",2.11,NA,21.691,0.374218,67.24,3.19,2.81,1.10873,856.98,40.62,31.9700000000001,317.700000000001
"2","A","F.o.","P","PA","Grass",2.062,NA,12.275,0.370782,65.55,3.18,17.42,1.12471,858.51,41.63,15.1200000000001,525.200000000001
"3","A","A.o.","P","PA","Grass",1.794,NA,11.37,0.370452,39.04,2.18,-10.76,1.09389,746.98,41.64,11.9799999999998,165.500000000001
"4","A","D.g.","P","PA","Grass",2.115,NA,12.972,0.371037,56.31,2.66,21.93,1.12963,844.9,39.95,18.1200000000004,594.699999999999
"5","A","H.l.","P","PA","Grass",2.012,NA,9.838,0.369893,43.51,2.16,-3.43,1.10191,793.95,39.46,5.04666666666709,265.899999999999
"6","A","G.v.","P","PA","Forb",2.108,NA,22.528,0.374524,63.19,3,10.56,1.1172,869.86,41.26,37.5666666666669,455.999999999999
"7","A","C.r.","P","PA","Forb",2.095,NA,9.154,0.369643,97.88,4.67,47.58,1.15766,795.25,37.96,6.88000000000022,848.099999999998
"8","A","P.l.","P","PA","Forb",2.09,NA,15.6,0.371996,37.64,1.8,-15.94,1.08823,844.06,40.39,21.0466666666664,150.399999999999
"9","A","C.n.","P","PA","Forb",1.882,NA,15.477,0.371951,44.17,2.35,-3.5,1.10183,747.05,39.69,23.1666666666663,244.600000000002
"10","A","R.a.","P","PA","Forb",2.149,NA,16.051,0.37216,36.04,1.68,-16.69,1.08741,828.64,38.56,11.7666666666666,106.5
"11","A","M.a.","P","PA","Legumes",1.029,NA,17.549,0.372707,67.13,6.52,-0.27,1.10536,756.49,73.52,37.4766666666665,332.399999999999
"12","A","T.p.","P","PA","Legumes",1.815,NA,9.714,0.369848,46.33,2.55,-3.01,1.10237,710.29,39.13,15.4433333333331,297.000000000001
"13","A","L.c.","P","PA","Legumes",2.199,NA,9.986,0.369947,51.91,2.36,-12.13,1.0924,896.18,40.75,18.8433333333332,169.600000000001
"14","A","M.s.","P","PA","Legumes",2.172,NA,9.234,0.369673,72.58,3.34,15.62,1.12273,875.96,40.33,15.7399999999996,485.784615384615
"15","A","T.r.","P","PA","Legumes",2.272,NA,12.845,0.37099,65.55,2.88,0.87,1.10661,767.67,33.79,19.2533333333333,324.584615384616
"17","A","F.o.","P+L","PA","Grass",1.946,NA,115.398,0.408401,55.43,2.85,-11.63,1.09294,800.46,41.13,391.31,207.5
"18","A","A.o.","P+L","PA","Grass",2.028,NA,245.163,0.455697,38.85,1.92,-2.53,1.1029,835.8,41.21,864.43,255.6
"19","A","D.g.","P+L","PA","Grass",2.112,NA,126.942,0.41261,43.26,2.05,2.65,1.10855,849.29,40.21,433.85,383.899999999999
"20","A","H.l.","P+L","PA","Grass",2.153,NA,184.372,0.433546,36.89,1.71,-12.15,1.09237,814.18,37.82,641.576666666667,170.5
"21","A","G.v.","P+L","PA","Forb",2.107,NA,135.9,0.415876,64.38,3.06,2.9,1.10883,833.99,39.58,451.086666666667,372.299999999999
"23","A","P.l.","P+L","PA","Forb",2.179,NA,125.748,0.412175,35.37,1.62,-17.06,1.08701,867.19,39.8,422.836666666667,138.199999999999
"24","A","C.n.","P+L","PA","Forb",2.059,NA,110.546,0.406631,46.26,2.25,-5.1,1.10008,747.61,36.31,369.966666666667,227.1
"25","A","R.a.","P+L","PA","Forb",2.248,NA,171.711,0.428931,35.86,1.6,-13.79,1.09058,798.42,35.52,579.476666666667,138.200000000002
"26","A","M.a.","P+L","PA","Legumes",1.88,NA,64.093,0.389689,55.79,2.97,-5.92,1.09918,739.78,39.35,207.296666666666,270.600000000001
"27","A","T.p.","P+L","PA","Legumes",2.138,NA,82.712,0.39648,44.01,2.06,11.78,1.11853,930.43,43.52,281.763333333333,458.6
"28","A","L.c.","P+L","PA","Legumes",2.25,NA,61.532,0.388754,54.38,2.42,-10.77,1.09388,988.42,43.93,206.913333333333,184.4
