Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR
11;B;M.a.;Leg;P;31,2841893010000;NA;0,06874415267660818;1,472212043483571;20,03960396039604;11,93366336633663;8,105940594059408;19,95732672970297
12;B;T.p.;Leg;P;19,6667723720000;1,464074896400000;0,02608385877718541;2,267036124794745;15,75940594059406;10,93564356435644;4,823762376237624;15,71693069603960
13;B;L.c.;Leg;P;15,5718944040000;7,608693584200000;0,02603508333651946;2,318941730238598;20,24554455445545;14,14554455445545;6,100000000000000;20,22315841584158
14;B;M.s.;Leg;P;26,9632245420000;2,865409398800000;0,01870449800313078;1,404874382649775;22,17722772277228;12,95544554455446;9,221782178217822;22,12371286831683
15;B;T.r.;Leg;P;52,7801985840000;5,376520459800000;0,03356965167930313;2,537020905923345;8,04059405940594;5,76732673267327;2,273267326732674;8,03589504950495
17;B;F.o.;Grass;P+L;20,0631536800000;0,285480690900000;0,01351638906795581;1,859845559845560;14,66732673267327;9,53861386138614;5,128712871287129;14,64792079207920
18;B;A.o.;Grass;P+L;11,9652147800000;0,634623900000000;0,02900299616693706;1,646964555052790;27,80099009900990;17,29801980198020;10,502970297029702;27,77610891089109
19;B;D.g.;Grass;P+L;15,0422459560000;0,852556110600000;0,01345811441688677;1,227652512303995;19,27029702970297;10,61980198019802;8,650495049504951;19,24603960396040
20;B;H.l.;Grass;P+L;5,7582645804000;1,375474503400000;0,05902648960004384;1,501915708812261;24,56831683168317;14,74851485148515;9,819801980198019;24,55287129009901
21;B;G.v.;Forbs;P+L;25,2079493060000;4,356469900600000;0,02771378723877134;1,430381857595464;14,43069306930693;8,49306930693069;5,937623762376237;14,42216831683168
23;B;P.l.;Forbs;P+L;21,7934317960000;2,113924416400000;0,02008114905616120;3,018259735420159;21,35247524752475;16,03861386138614;5,313861386138615;21,30396039603960
24;B;C.n.;Forbs;P+L;11,9073755440000;3,499590942800000;0,02091481352319578;0,849461659663866;27,89207920792079;12,81089108910891;15,081188118811880;27,81563366336633
25;B;R.a.;Forbs;P+L;13,7561690660000;2,128494750800000;0,01589716215719019;0,620769424189087;31,90990099009901;12,22178217821782;19,688118811881186;31,86582178217822
26;B;M.a.;Leg;P+L;26,8153328700000;2,210390232600000;0,02437990390408073;1,260490282685512;20,26831683168317;11,30198019801980;8,966336633663365;20,18603960099010
27;B;T.p.;Leg;P+L;22,5245383920000;1,657118685400000;0,02350389467880229;2,507478825013516;19,27029702970297;13,77623762376238;5,494059405940593;19,22782178514852
28;B;L.c.;Leg;P+L;19,5326776100000;2,333866885200000;0,02864638091722918;1,222630916658600;22,73465346534654;12,50594059405941;10,228712871287129;22,71226732673268
29;B;M.s.;Leg;P+L;17,3590290920000;1,762239643200000;0,01953317829440872;1,436510103768433;17,66831683168317;10,41683168316832;7,251485148514851;17,61480197722772
30;B;T.r.;Leg;P+L;30,0031302900000;2,497913837800000;0,01794000898392924;3,841242073037394;21,91980198019802;17,39207920792079;4,527722772277228;21,91510297029703
1;C;N.s.;Grass;P;12,0842750030000;3,118333773500000;0,00411498956068877;3,283971392511570;4,71435185185185;3,61388888888889;1,100462962962963;4,69861111388889
2;C;F.o.;Grass;P;21,7200775180000;1,335032710600000;0,02862734553008929;1,453421926910299;17,09444444444444;10,12685185185185;6,967592592592592;17,07629629629630
3;C;A.o.;Grass;P;14,0410971860000;1,369665926800000;0,03131813449817326;1,636099735628013;23,54305555555555;14,61203703703704;8,931018518518519;23,51978703703704
4;C;D.g.;Grass;P;14,9975404860000;1,003799922600000;0,01638132786898396;2,650337614193035;12,76435185185185;9,26759259259259;3,496759259259260;12,74166666666667
5;C;H.l.;Grass;P;8,7882190638000;0,402806772600000;0,03016137356289313;1,509846827133479;24,42685185185185;14,69444444444445;9,732407407407408;24,41240741018519
6;C;G.v.;Forbs;P;16,2432651880000;3,848520095000000;0,02984152734850635;1,808017160477276;9,69675925925926;6,24351851851852;3,453240740740741;9,68878703703704
7;C;C.r.;Forbs;P;14,3109718020000;1,959126734600000;0,02912718514342955;3,546586193889098;5,58009259259259;4,35277777777778;1,227314814814815;5,57244444444444
8;C;P.l.;Forbs;P;12,7511880500000;1,965479455200000;0,04361221187545401;3,341456282288722;20,61990740740741;15,87037037037037;4,749537037037038;20,57453703703704
9;C;C.n.;Forbs;P;13,5440854620000;1,495809818800000;0,04348402834089184;0,822941677639222;21,79259259259259;9,83796296296296;11,954629629629629;21,72110185185185
10;C;R.a.;Forbs;P;15,7961464800000;1,783094163400000;0,01726086225121128;0,467789181816149;30,38935185185185;9,68518518518518;20,704166666666669;30,34812962962963
