Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya Ad,Lcya Juv,Dorn Ad,Dorn Juv,Bhor Ad,Bhor Juv,Isp Ad,Isp Juv,Sele Ad,Sele Juv,Eniv Ad,Eniv Juv,Svir Ad,Svir Juv,Afus Ad,Afus Juv
23,B,P+L,Forb,P.l.,18,74,6,16,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,B,P+L,Forb,C.n.,6,21,12,1,NA,0.167,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,B,P+L,Forb,R.a.,19,55,21,11,NA,0.737,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA,NA
26,B,P+L,Legumes,M.a.,24,166,21,20,107,0.667,0.645,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,B,P+L,Legumes,T.p.,20,184,20,32,186,0.97,0.778,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,B,P+L,Legumes,L.c.,16,168,4,15,115,0.938,0.685,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,B,P+L,Legumes,M.s.,4,122,7,4,85,1,0.697,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,B,P+L,Legumes,T.r.,17,215,3,16,287,0.941,0.894,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
32,B,L,Grass,F.o.,1,1,0,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,B,L,Grass,A.o.,0,31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,B,L,Grass,D.g.,8,90,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,B,L,Grass,H.l.,2,4,0,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,B,L,Forb,G.v.,0,26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,B,L,Forb,P.l.,3,10,0,2,NA,0.667,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,B,L,Forb,C.n.,1,3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
