Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N;BG_Delta15N;BG_NperMS;BG_APE15N;BG_Delta13C;BG_CperMS;BG_APE13C;AG_Delta15N;AG_NperMS;AG_APE15N;AG_Delta13C;AG_CperMS;AG_APE13C
18;B;A.o.;Grass;P+L;11,9652147800000;0,634623900000000;0,02900299616693706;1,646964555052790;27,80099009900990;17,29801980198020;10,502970297029702;27,77610891089109;241,017919075145;0,2499638780523046;0,1164846593863754;28508,09151785714;0,1688;0,1567529741077677;0,0400000000000000;0,388000000000000;47,98;2,67;46,51;1,09;17,97003745318352;42,6697247706422;384,499;0,81;1364,933333333329983;-10,08;33,41;165,09999999999999;285,586;1,58;1011,679999999999950;9,18;40,24;383,500000000001
19;B;D.g.;Grass;P+L;15,0422459560000;0,852556110600000;0,01345811441688677;1,227652512303995;19,27029702970297;10,61980198019802;8,650495049504951;19,24603960396040;290,348842592593;0,2083936324167873;0,1186340140666045;25271,13642857143;0,1722;0,1699029126213593;0,0400000000000000;0,402000000000000;47,42;4,34;42,78;1,05;10,92626728110599;40,7428571428571;99,814;1,06;336,649999999999977;-12,90;40,17;175,80000000000200;125,108;2,22;427,160000000000025;40,00;39,74;792,200000000001
20;B;H.l.;Grass;P+L;5,7582645804000;1,375474503400000;0,05902648960004384;1,501915708812261;24,56831683168317;14,74851485148515;9,819801980198021;24,55287129009901;394,239436619718;0,2029441189081035;0,1553249729454453;30359,86803278689;0,1517;0,1823617339312406;0,0300000000000000;0,358000000000000;46,05;2,89;47,73;1,04;15,93425605536332;45,8942307692308;160,258;0,97;550,666666666666970;-11,94;44,48;161,59999999999999;157,775;1,58;544,626666666667006;12,62;38,80;441,399999999998
21;B;G.v.;Forbs;P+L;25,2079493060000;4,356469900600000;0,02771378723877134;1,430381857595464;14,43069306930693;8,49306930693069;5,937623762376237;14,42216831683168;230,490697674419;0,2047619047619048;0,1382906370437542;18325,12909836066;0,1764;0,2232387923147301;0,0300000000000000;0,660000000000000;46,56;4,89;45,72;1,82;9,52147239263804;25,1208791208791;118,336;1,56;380,566666666667004;-4,47;43,93;264,50000000000102;136,539;2,79;453,416666666667027;13,67;39,66;490,100000000000
23;B;P.l.;Forbs;P+L;21,7934317960000;2,113924416400000;0,02008114905616120;3,018259735420159;21,35247524752475;16,03861386138614;5,313861386138615;21,30396039603960;258,943352601156;0,1260381757249016;0,1101737597582473;14921,32514285715;0,3038;0,0924458531431590;0,5555555555555557;0,640000000000000;46,34;3,80;46,32;1,49;12,19473684210526;31,0872483221477;155,184;1,40;500,339999999999975;-9,70;44,48;228,09999999999999;120,945;2,13;405,316666666665981;23,67;44,79;583,399999999998
24;B;C.n.;Forbs;P+L;11,9073755440000;3,499590942800000;0,02091481352319578;0,849461659663866;27,89207920792079;12,81089108910891;15,081188118811880;27,81563366336633;195,547300000000;0,1816563425311995;0,1506591337099812;8290,33125000000;0,2181;0,3228410008071025;0,3200000000000000;0,746000000000000;46,37;3,54;45,27;1,11;13,09887005649717;40,7837837837838;145,386;1,27;473,903333333333990;-12,62;44,16;142,90000000000100;80,871;1,83;261,746666666667011;-2,83;39,96;251,900000000000
25;B;R.a.;Forbs;P+L;13,7561690660000;2,128494750800000;0,01589716215719019;0,620769424189087;31,90990099009901;12,22178217821782;19,688118811881186;31,86582178217822;319,057497181511;0,1002373149508419;0,1824085005903188;6430,21229773463;0,3558;0,1563765182186235;0,0000000000000000;0,451000000000000;43,95;4,12;47,67;1,15;10,66747572815534;41,4521739130435;117,538;0,72;396,389999999999986;5,04;43,82;339,00000000000000;170,447;1,91;574,866666666667015;1,92;36,66;309,900000000001
26;B;M.a.;Leg;P+L;26,8153328700000;2,210390232600000;0,02437990390408073;1,260490282685512;20,26831683168317;11,30198019801980;8,966336633663365;20,18603960099010;221,403743315508;0,1994241228537912;0,1267353149622712;9147,13980263158;0,2748;0,1843541540327471;0,1444444444444445;0,519000000000000;41,04;4,09;43,30;3,05;10,03422982885086;14,1967213114754;76,720;2,60;275,540000000000020;11,30;39,34;456,60000000000002;58,211;2,89;185,836666666667014;1,37;38,64;350,400000000000
27;B;T.p.;Leg;P+L;22,5245383920000;1,657118685400000;0,02350389467880229;2,507478825013516;19,27029702970297;13,77623762376238;5,494059405940593;19,22782178514852;281,095477386935;0,2188015393073117;0,1156094581624640;10773,09056603774;0,2792;0,1516018306636156;0,2100000000000000;0,659000000000000;47,56;5,37;46,18;2,41;8,85661080074488;19,1618257261411;75,538;2,40;270,230000000000018;25,17;43,79;605,39999999999998;62,494;2,45;208,013333333333009;9,75;40,11;436,500000000000
28;B;L.c.;Leg;P+L;19,5326776100000;2,333866885200000;0,02864638091722918;1,222630916658600;22,73465346534654;12,50594059405941;10,228712871287128;22,71226732673268;220,681052631579;0,1938379922464803;0,1096947725412232;5327,97931769723;0,3848;0,1614457831325301;0,2700000000000001;0,609000000000000;44,47;3,91;46,97;2,51;11,37340153452685;18,7131474103586;98,195;2,80;352,363333333334026;35,14;43,22;711,79999999999995;90,204;2,74;311,503333333332989;22,57;40,98;548,900000000001
29;B;M.s.;Leg;P+L;17,3590290920000;1,762239643200000;0,01953317829440872;1,436510103768433;17,66831683168317;10,41683168316832;7,251485148514851;17,61480197722772;NA;0,2117751413682226;0,1374552887072049;7304,83048327137;0,3276;0,1624396135265701;0,0600000000000000;0,731000000000000;43,17;4,94;43,93;2,61;8,73886639676113;16,8314176245211;163,124;2,12;590,036666666666974;-15,53;44,59;139,83846153846201;136,155;2,43;478,699999999999989;19,62;39,62;529,584615384615
30;B;T.r.;Leg;P+L;30,0031302900000;2,497913837800000;0,01794000898392924;3,841242073037394;21,91980198019802;17,39207920792079;4,527722772277228;21,91510297029703;363,080717488789;0,1563705210013323;0,1181721038405934;7869,88351063830;0,3060;0,1727941176470588;0,2100000000000000;0,619000000000000;45,30;5,57;46,56;2,85;8,13285457809695;16,3368421052632;134,280;2,90;478,323333333332982;-4,17;43,98;264,03846153846098;98,427;2,87;331,473333333333983;-0,51;36,43;309,484615384614
1;C;N.s.;Grass;P;12,0842750030000;3,118333773500000;0,00411498956068877;3,283971392511570;4,71435185185185;3,61388888888889;1,100462962962963;4,69861111388889;165,800000000000;0,3418803418803419;0,1616031027795733;9673,10666666667;0,2507;0,2094972067039106;0,0600000000000000;0,688000000000000;45,69;3,56;46,12;1,63;12,83426966292135;28,2944785276074;23,935;1,42;43,086666666666801;-6,35;36,56;212,59999999999800;2,852;2,85;-36,769999999999897;40,34;41,06;727,900000000001
2;C;F.o.;Grass;P;21,7200775180000;1,335032710600000;0,02862734553008929;1,453421926910299;17,09444444444444;10,12685185185185;6,967592592592592;17,07629629629630;144,435185185185;0,2847350382283153;0,1227219733693318;20426,70250000000;0,1848;0,1824817518248175;0,0600000000000000;0,358000000000000;46,55;2,57;48,64;1,52;18,11284046692607;32,0000000000000;16,925;1,03;29,896666666666700;-3,32;33,18;297,30000000000001;4,092;2,08;-14,739999999999799;-7,37;39,60;254,099999999999
3;C;A.o.;Grass;P;14,0410971860000;1,369665926800000;0,03131813449817326;1,636099735628013;23,54305555555555;14,61203703703704;8,931018518518519;23,51978703703704;250,351698113208;0,2443297068043518;0,1310698776154757;20046,73493975903;0,1837;0,1882086167800454;0,0500000000000001;0,559000000000000;47,03;2,21;47,24;1,04;21,28054298642534;45,4230769230769;17,322;0,82;26,843333333333401;-6,26;43,17;206,90000000000100;2,843;1,38;-19,140000000000299;5,26;39,85;340,700000000000
4;C;D.g.;Grass;P;14,9975404860000;1,003799922600000;0,01638132786898396;2,650337614193035;12,76435185185185;9,26759259259259;3,496759259259260;12,74166666666667;342,497643097643;0,1983305509181970;0,1315212626041210;26767,79583333333;0,1590;0,1880877742946708;0,0500000000000001;0,331000000000000;47,58;3,63;47,55;1,59;13,10743801652893;29,9056603773585;15,496;1,09;29,049999999999901;-8,99;40,98;218,50000000000099;4,015;1,87;-14,569999999999901;19,46;40,59;567,700000000000
5;C;H.l.;Grass;P;8,7882190638000;0,402806772600000;0,03016137356289313;1,509846827133479;24,42685185185185;14,69444444444445;9,732407407407408;24,41240741018519;356,397080291971;0,2266710787557909;0,1402846503086262;24326,52400000000;0,1678;0,1859364435429344;0,1176470588235294;0,341000000000000;45,96;2,31;48,24;1,10;19,89610389610390;43,8545454545455;21,463;0,84;44,456666666666798;-12,46;43,75;155,90000000000001;3,002;1,63;-19,903333333333201;-7,30;39,93;223,499999999999
6;C;G.v.;Forbs;P;16,2432651880000;3,848520095000000;0,02984152734850635;1,808017160477276;9,69675925925926;6,24351851851852;3,453240740740741;9,68878703703704;250,238095238095;0,1910828025477707;0,1260888396939218;22268,40152671756;0,1719;0,1933579335793358;0,0875000000000000;0,677000000000000;46,82;4,39;46,33;1,84;10,66514806378132;25,1793478260870;35,493;1,65;78,396666666666903;16,42;43,75;492,90000000000100;5,460;2,76;-24,723333333333500;57,07;40,47;964,299999999998
7;C;C.r.;Forbs;P;14,3109718020000;1,959126734600000;0,02912718514342955;3,546586193889098;5,58009259259259;4,35277777777778;1,227314814814815;5,57244444444444;336,264705882353;0,1833872707659115;0,1237605308283009;14679,19578313253;0,1907;0,2385057471264368;0,0103092783505155;0,356000000000000;45,78;4,94;47,38;2,61;9,26720647773279;18,1532567049808;53,200;1,97;126,373333333332994;-14,36;43,52;165,89999999999901;7,601;3,98;1,220000000000110;24,74;38,00;598,500000000000
8;C;P.l.;Forbs;P;12,7511880500000;1,965479455200000;0,04361221187545401;3,341456282288722;20,61990740740741;15,87037037037037;4,749537037037038;20,57453703703704;182,639165009940;0,1448920511010932;0,1068009518012285;16329,17512953368;0,2253;0,1536624203821656;0,0510204081632653;0,408000000000000;42,37;2,43;48,08;1,65;17,43621399176955;29,1393939393939;45,396;1,03;99,949999999999804;-12,08;43,83;202,09999999999800;3,657;1,34;-22,543333333333599;-3,03;40,01;291,500000000000
9;C;C.n.;Forbs;P;13,5440854620000;1,495809818800000;0,04348402834089184;0,822941677639222;21,79259259259259;9,83796296296296;11,954629629629627;21,72110185185185;182,934924623116;0,1727318099950090;0,1459072351248243;7622,02545871560;0,2853;0,2051764705882353;0,4269662921348315;0,560000000000000;43,96;2,28;47,51;1,20;19,28070175438597;39,5916666666667;39,702;0,70;88,453333333333703;-12,63;41,98;142,80000000000101;4,780;1,71;-15,873333333333299;4,28;37,14;329,600000000001
10;C;R.a.;Forbs;P;15,7961464800000;1,783094163400000;0,01726086225121128;0,467789181816149;30,38935185185185;9,68518518518518;20,704166666666669;30,34812962962963;311,578421578422;0,1048442000523697;0,2006973001966744;7810,57082405345;0,2350;0,2952005259697568;NA;NA;40,18;2,49;49,11;0,94;16,13654618473895;52,2446808510638;16,541;0,57;27,969999999999899;-14,64;43,63;123,70000000000000;6,745;1,35;-22,193333333333499;-5,73;36,79;226,300000000002
11;C;M.a.;Leg;P;25,2551518320000;1,906229173400000;0,05400923798404012;0,924327027252271;21,37962962962963;10,26944444444444;11,110185185185186;21,30268518240741;172,953040540541;0,2047451061769385;0,1757379906321484;4818,54979338843;0,3423;0,2255358807082945;0,2555555555555555;0,504000000000000;37,70;2,81;45,94;3,99;13,41637010676157;11,5137844611529;1,267;2,56;0,240000000000240;0,42;42,73;337,70000000000101;0,262;2,72;-25,613333333333600;3,33;37,76;371,800000000000
12;C;T.p.;Leg;P;22,9950901740000;1,792546969200000;0,05833103758708308;1,732586528795059;17,61759259259259;11,17037037037037;6,447222222222224;17,57787037314815;332,248991354467;0,1999539011178979;0,1073459905471441;11343,27462686567;0,2946;0,1293436293436293;0,1100000000000000;0,558000000000000;46,54;4,34;47,97;3,58;10,72350230414747;13,3994413407821;2,102;2,10;2,289999999999790;-5,61;42,89;268,90000000000100;1,334;2,68;-15,136666666666899;-1,98;39,70;308,200000000001
13;C;L.c.;Leg;P;14,5233067060000;NA;0,03766898704284200;1,753300367463594;28,09768518518518;17,89259259259259;10,205092592592592;28,07675000000000;239,502500000000;0,1645075056549455;0,1230206296132736;7078,62717948718;0,3351;0,1602300739523418;0,4499999999999999;0,809000000000000;43,10;3,99;47,88;3,36;10,80200501253133;14,2500000000000;0,427;2,58;-4,316666666666640;-8,93;42,05;230,00000000000099;0,594;3,06;-15,426666666666900;5,77;40,18;365,200000000001
14;C;M.s.;Leg;P;17,8576937660000;1,685246674800000;0,03228813140350224;1,136371634699982;22,48333333333333;11,95925925925926;10,524074074074074;22,43328703425926;284,686928104575;0,2194807057810931;0,1620883178260227;5418,43166287016;0,3365;0,2074669187145557;0,0200000000000000;0,666000000000000;41,87;3,81;47,21;3,01;10,98950131233596;15,6843853820598;2,677;1,95;4,826666666666870;-8,54;43,59;216,33846153846099;1,002;2,40;-14,310000000000199;17,11;40,00;502,084615384615
15;C;T.r.;Leg;P;21,3256420080000;1,689697691100000;0,07253380216421450;2,792635983263598;10,49120370370370;7,72500000000000;2,766203703703704;10,48680925925926;381,529411764706;0,1395845307496510;0,0994318181818182;9488,81336405530;0,3224;0,1290898274836407;0,5299999999999999;0,477000000000000;45,80;5,34;46,82;3,84;8,57677902621723;12,1927083333333;3,741;2,60;2,143333333333160;-14,83;42,40;147,53846153846101;1,753;3,17;-21,226666666666599;7,91;37,22;401,584615384614
17;C;F.o.;Grass;P+L;23,7930707840000;2,177903466800000;0,06024934914554274;2,201842210652783;14,80555555555556;10,18148148148148;4,624074074074075;14,78740740740741;137,457142857143;0,2545454545454546;0,1389262829142211;20839,58449612403;0,1751;0,1993817619783617;0,3700000000000002;0,466000000000000;47,07;2,50;46,55;1,67;18,82800000000000;27,8742514970060;105,320;1,01;352,356666666667024;1,30;44,31;347,90000000000100;120,119;2,14;408,519999999999982;15,30;41,53;502,000000000000
18;C;A.o.;Grass;P+L;14,6319182960000;0,767517496800000;0,03445235733999306;1,573312695495147;36,94490740740741;22,58796296296296;14,356944444444444;36,92163888888889;265,039423076923;0,2535348610433935;0,1595548223475242;19289,31111111111;0,1885;0,1857798165137615;0,0800000000000000;0,426000000000000;47,87;2,50;47,39;0,95;19,14800000000000;49,8842105263158;541,208;0,80;1934,923333333329992;9,72;42,96;381,69999999999999;325,280;1,31;1156,220000000000027;9,36;41,00;385,500000000001
19;C;D.g.;Grass;P+L;17,8820269700000;2,317818211400000;0,03567013563913632;2,116088328075710;13,71944444444444;9,31666666666667;4,402777777777778;13,69675925925926;282,790600000000;0,2136386942403008;0,1492929217149931;18248,58894472362;0,1794;0,2167755991285403;0,3500000000000001;0,371000000000000;45,90;2,74;47,29;1,22;16,75182481751825;38,7622950819672;110,049;0,88;373,970000000000027;3,26;43,29;352,50000000000000;106,627;1,68;359,769999999999982;10,50;39,03;469,800000000000
20;C;H.l.;Grass;P+L;13,4394322980000;0,819760832600000;0,05675847669915545;1,472475048647292;18,23564814814815;10,86018518518519;7,375462962962962;18,22120370648149;384,583446474359;0,2061310782241015;0,1491618524481485;26190,36031746032;0,1654;0,1777652370203160;0,4700000000000001;0,430000000000000;45,88;2,74;47,80;1,08;16,74452554744526;44,2592592592593;400,221;0,75;1424,636666666669953;-22,97;45,92;40,89999999999930;215,651;1,80;755,566666666666947;12,54;39,95;440,499999999999
21;C;G.v.;Forbs;P+L;18,8691478560000;3,355038473300000;0,05185218700464680;1,534808667588751;15,27222222222222;9,24722222222222;6,024999999999999;15,26425000000000;226,696000000000;0,2027575020275750;0,1454891994917408;16756,77554585153;0,1834;0,2258382642998028;0,0202020202020202;0,546000000000000;45,21;2,98;45,74;1,71;15,17114093959732;26,7485380116959;134,175;1,41;438,326666666666995;-15,78;41,34;140,80000000000101;112,100;2,32;364,306666666667013;0,53;38,65;346,399999999998
23;C;P.l.;Forbs;P+L;13,2624628620000;2,017553740000000;0,03510417634710798;3,556489262371616;18,07407407407407;14,10740740740741;3,966666666666666;18,02870370370371;229,156554712893;0,1432340161390441;0,1178669712861519;13967,93744493392;0,2301;0,1722306525037936;0,1700000000000000;0,620000000000000;45,29;2,55;47,37;1,40;17,76078431372549;33,8357142857143;75,417;0,94;209,469999999999999;-11,67;43,99;206,59999999999900;103,457;1,74;341,546666666667022;2,31;38,71;349,899999999999
24;C;C.n.;Forbs;P+L;19,1923280730000;2,315345693600000;0,03088448204948684;0,923213272830403;25,11574074074074;12,05648148148148;13,059259259259260;25,04425000000000;216,275246440307;0,1425337600499571;0,1675769191627939;5796,07753036437;0,2997;0,2446755819712729;0,4899999999999999;0,739000000000000;43,37;2,41;46,15;0,90;17,99585062240664;51,2777777777778;127,274;0,83;407,863333333334026;-24,04;43,36;18,00000000000020;108,594;1,69;362,856666666667024;15,72;39,96;454,800000000000
25;C;R.a.;Forbs;P+L;17,6606826740000;1,664629403200000;0,03442951844824071;0,479012973798016;32,30000000000000;10,46111111111111;21,838888888888889;32,25877777777778;347,559111791730;0,0981453091652388;0,1394169835234474;10992,33577712610;0,2210;0,2371349095966621;NA;0,608000000000000;44,62;3,33;48,81;1,18;13,39939939939940;41,3644067796610;249,163;0,57;876,129999999999995;-3,47;44,68;245,90000000000100;301,813;1,70;1053,476666666670098;-4,77;36,42;236,800000000001
26;C;M.a.;Leg;P+L;38,0763415400000;2,601449692400000;0,03855266353702497;0,942962848774472;23,34074074074074;11,32777777777778;12,012962962962964;23,26379629351852;233,373267326733;0,1823104693140794;0,1332989889883444;7889,62898550725;0,3333;0,1452631578947368;0,6200000000000000;0,697000000000000;41,33;3,88;46,69;4,03;10,65206185567010;11,5856079404466;46,129;3,04;163,939999999999998;12,32;42,60;467,80000000000001;55,191;3,18;174,816666666666009;20,31;38,78;557,400000000001
27;C;T.p.;Leg;P+L;17,9550971320000;1,893488306400000;0,06908498734001878;3,094850603941512;29,82037037037037;22,53796296296296;7,282407407407408;29,78064815092592;335,526027397260;0,2106782106782107;0,1253842025662292;10481,79066147860;0,2755;0,1600249066002491;0,1900000000000000;0,499000000000000;46,51;4,80;47,17;3,69;9,68958333333333;12,7831978319783;63,975;2,22;228,050000000000011;-11,95;44,42;199,59999999999999;51,813;2,88;169,053333333333001;17,80;40,78;524,499999999999
28;C;L.c.;Leg;P+L;14,0385092230000;1,505742851500000;0,05063167287162398;1,218831467566324;26,79444444444444;14,71851851851852;12,075925925925926;26,77350925925926;222,631858407080;0,2035669248784003;NA;4245,12220077220;0,4057;0,1822018994020401;0,3400000000000001;0,702000000000000;43,05;3,29;46,04;3,34;13,08510638297872;13,7844311377246;57,780;2,38;204,953333333334001;8,93;42,04;425,30000000000200;54,711;2,71;182,033333333332990;8,51;40,66;395,200000000000
29;C;M.s.;Leg;P+L;15,0060558160000;2,733311361400000;0,05073467320384720;1,169917401263275;28,94629629629630;15,60648148148148;13,339814814814815;28,89624999722222;293,986335403727;0,2129629629629630;0,1152819351185179;8534,17157894737;0,3253;0,1410192973775359;0,1000000000000000;0,565000000000000;42,67;4,08;46,94;3,64;10,45833333333333;12,8956043956044;40,484;2,42;142,786666666667003;11,11;43,03;431,23846153846102;52,689;2,70;174,289999999999992;26,35;40,56;603,084615384615
30;C;T.r.;Leg;P+L;24,9649882740000;1,705919128400000;0,05647166524775015;2,677974913888347;26,20046296296296;19,07685185185185;7,123611111111111;26,19606851851852;317,943750000000;0,1686933295845927;0,1212546667092122;8171,44947368421;0,3000;0,1731996353691887;0,3200000000000000;0,534000000000000;47,74;4,77;48,30;3,24;10,00838574423480;14,9074074074074;140,663;1,89;501,593333333333021;-25,46;44,13;31,23846153846090;102,582;2,79;346,623333333334017;-16,31;40,05;136,684615384615
