Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N;BG_Delta15N;BG_NperMS;BG_APE15N;BG_Delta13C;BG_CperMS;BG_APE13C;AG_Delta15N;AG_NperMS;AG_APE15N;AG_Delta13C;AG_CperMS;AG_APE13C
13;A;L.c.;Leg;P;13,4506510060000;2,096012724200000;0,01830821626577631;1,909347908028647;16,42234042553191;10,77765957446809;5,644680851063829;16,39828723404255;200,866666666667;0,1897810218978102;0,1461527439461241;4939,33137254902;0,3795;0,1789473684210526;0,0800000000000000;0,443750000000000;42,85;2,96;46,75;3,11;14,47635135135135;15,0321543408360;2,715;2,52;4,033333333333670;-12,08;38,18;195,59999999999999;9,986;2,36;18,843333333333199;-12,13;40,75;169,600000000001
14;A;M.s.;Leg;P;18,0677164260000;2,444837599300000;0,01955286616309999;1,684428492545555;20,68723404255319;12,98085106382979;7,706382978723404;20,62973403936170;265,383088235294;0,2082695252679939;0,2049806706823699;3476,66754385965;0,3450;0,3076923076923077;0,0200000000000000;0,487777777777778;44,62;4,21;45,09;2,69;10,59857482185273;16,7620817843866;0,710;2,15;-2,353333333333100;-24,96;43,67;36,63846153846070;9,234;3,34;15,739999999999601;15,62;40,33;485,784615384615
15;A;T.r.;Leg;P;20,3939857933333;2,048522062600000;0,03578251791903279;3,778793418647167;11,12340425531915;8,79574468085106;2,327659574468085;11,11835531914894;310,928846153846;0,1626694473409802;0,1122504047490556;8145,59615384616;0,3156;0,1568627450980392;0,1199999999999999;0,598750000000000;46,34;4,64;44,06;3,15;9,98706896551724;13,9873015873016;2,020;2,27;-4,136666666667010;-21,06;43,92;79,43846153846140;12,845;2,88;19,253333333333298;0,87;33,79;324,584615384616
17;A;F.o.;Grass;P+L;16,6310879718182;NA;0,03696098407804285;0,737052678372972;16,62765957446808;7,05531914893617;9,572340425531914;16,60680851063830;186,018461538462;0,2569169960474308;0,1865918097754293;18084,62477876106;0,1624;0,2671394799054373;0,1538461538461539;0,402000000000000;46,16;3,32;46,56;1,38;13,90361445783132;33,7391304347826;608,878;1,40;2185,346666666669989;-23,52;45,41;76,40000000000090;115,398;2,85;391,310000000000002;-11,63;41,13;207,500000000000
18;A;A.o.;Grass;P+L;10,8362856800000;0,816226313333333;0,02747279293639477;1,103019385829473;26,08191489361703;13,67978723404255;12,402127659574468;26,05518085106383;259,685559566787;0,2289256198347108;0,1522956326987682;26163,69705882353;0,1475;0,2236842105263158;NA;NA;47,89;2,00;43,16;0,79;23,94500000000000;54,6329113924051;219,102;1,00;762,623333333332994;-10,99;44,52;155,30000000000001;245,163;1,92;864,429999999999950;-2,53;41,21;255,600000000000
19;A;D.g.;Grass;P+L;19,5824134783333;2,237571336000000;0,02792076923246015;1,199253895106430;21,32340425531915;11,62765957446809;9,695744680851066;21,29734042553192;281,326208651399;0,2299590403744880;0,1654996817313813;17285,33589743590;0,1785;0,2307692307692308;NA;NA;46,98;3,26;44,38;0,96;14,41104294478528;46,2291666666667;123,431;0,83;422,769999999999982;-22,44;44,32;71,40000000000150;126,942;2,05;433,850000000000023;2,65;40,21;383,899999999999
20;A;H.l.;Grass;P+L;14,0170123580000;2,204393673600000;0,03489892372654986;1,466841951504528;26,94893617021277;16,02446808510638;10,924468085106383;26,93234042872341;341,493582887701;0,2080088987764182;0,1687471104946833;23273,46438356164;0,1458;0,2570422535211268;0,1752577319587629;0,502000000000000;45,98;2,50;47,12;0,82;18,39200000000000;57,4634146341463;685,549;0,76;2461,846666666669989;-26,96;44,21;-2,69999999999992;184,372;1,71;641,576666666667052;-12,15;37,82;170,500000000000
21;A;G.v.;Forbs;P+L;11,4091347783333;2,413434717800000;0,02454965362910914;1,801896207584830;5,97340425531915;3,84148936170213;2,131914893617021;5,96424468085106;306,623333333333;0,1704545454545455;0,1273516642547033;26986,56818181819;0,1644;0,1746031746031746;NA;NA;44,31;3,37;43,34;1,91;13,14836795252226;22,6910994764398;85,806;1,47;261,936666666667008;-15,13;42,99;148,00000000000099;135,900;3,06;451,086666666666986;2,90;39,58;372,299999999999
23;A;P.l.;Forbs;P+L;24,5634378580000;1,870802646200000;0,01498837257204519;5,666666666666666;13,68085106382978;11,62872340425532;2,052127659574468;13,62872340425532;322,550537634409;0,1088992974238876;0,1464557703573521;10946,42200000000;0,2578;0,1748251748251748;NA;NA;44,73;3,88;45,25;1,07;11,52835051546392;42,2897196261682;134,642;0,97;425,449999999999989;-25,70;43,94;53,09999999999930;125,748;1,62;422,836666666666986;-17,06;39,80;138,199999999999
24;A;C.n.;Forbs;P+L;20,2959018610000;1,874815926400000;0,02228005397499997;0,903405635515913;19,97765957446809;9,48191489361702;10,495744680851066;19,89552127659575;227,654857142857;0,1528384279475983;0,1449991761410447;7969,39545454545;0,2983;0,1795918367346939;0,3012048192771083;0,742857142857143;45,73;2,82;45,00;0,98;16,21631205673759;45,9183673469388;157,926;1,21;519,613333333334026;-24,70;43,01;10,70000000000130;110,546;2,25;369,966666666666981;-5,10;36,31;227,100000000000
25;A;R.a.;Forbs;P+L;16,4657103560000;1,562230214000000;0,01879286571023218;0,523514261184775;33,98085106382979;11,67659574468085;22,304255319148940;33,93348936170213;251,582410651717;0,1050423260949577;0,2638522427440633;5267,00687500000;0,2376;0,4278074866310160;NA;NA;43,28;2,54;48,21;0,84;17,03937007874016;57,3928571428571;215,693;0,71;754,179999999999950;-26,09;45,39;-1,49999999999872;171,711;1,60;579,476666666667029;-13,79;35,52;138,200000000002
26;A;M.a.;Leg;P+L;23,6810746260000;2,072670394800000;0,01678482583965156;1,221591780401779;15,41170212765958;8,47446808510638;6,937234042553192;15,32329786914894;211,476785714286;0,1854304635761589;0,2125933138591367;3392,69694656489;0,3773;0,2635814889336016;NA;NA;42,56;3,79;44,02;3,37;11,22955145118734;13,0623145400593;86,312;2,75;310,519999999999982;-22,22;42,22;90,00000000000119;64,093;2,97;207,296666666665999;-5,92;39,35;270,600000000001
