"Numero","Bloc","Type","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.13C","baseline.15N","APE15Nppm","APE13Cppm"
"36","C","NF","G.v.","L","Forb",0.410896,1.07581,1.075631875,0.371056875,398.39125,1.78124999999918
"38","C","NF","P.l.","L","Forb",0.414282,1.07513,1.075631875,0.371056875,432.25125,NA
"39","C","NF","C.n.","L","Forb",0.392994,1.07558,1.075631875,0.371056875,219.37125,NA
"4","C","NF","D.g.","P","Grass",0.370187,1.07562,1.075631875,0.371056875,NA,NA
"40","C","NF","R.a.","L","Forb",0.414182,1.0752,1.075631875,0.371056875,431.25125,NA
"41","C","NF","M.a.","L","Legumes",0.423386,1.07544,1.075631875,0.371056875,523.29125,NA
"42","C","NF","T.p.","L","Legumes",0.432946,1.07538,1.075631875,0.371056875,618.89125,NA
"43","C","NF","L.c.","L","Legumes",0.454802,1.07538,1.075631875,0.371056875,837.45125,NA
"44","C","NF","M.s.","L","Legumes",0.429157,1.07439,1.075631875,0.371056875,581.00125,NA
"45","C","NF","T.r.","L","Legumes",0.454818,1.07582,1.075631875,0.371056875,837.61125,1.88124999999983
"46","C","NF",NA,"T","Temoins",0.368229,1.07507,1.075631875,0.371056875,NA,NA
"47","C","NF",NA,"T","Temoins",0.369874,1.07505,1.075631875,0.371056875,NA,NA
"5","C","NF","H.l.","P","Grass",0.370923,1.07549,1.075631875,0.371056875,NA,NA
"6","C","NF","G.v.","P","Forb",0.369706,1.076,1.075631875,0.371056875,NA,3.68125000000052
"7","C","NF","C.r.","P","Forb",0.37289,1.07558,1.075631875,0.371056875,18.3312499999999,NA
"8","C","NF","P.l.","P","Forb",0.371095,1.07547,1.075631875,0.371056875,0.38125,NA
"9","C","NF","C.n.","P","Forb",0.37679,1.07534,1.075631875,0.371056875,57.33125,NA
