"Numero","Bloc","Type","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.13C","baseline.15N","APE15Nppm","APE13Cppm"
"24","A","NF","C.n.","P+L","Forb",0.384983,1.07488,1.07576166666667,0.368761388888889,162.216111111111,NA
"25","A","NF","R.a.","P+L","Forb",0.400183,1.07785,1.07576166666667,0.368761388888889,314.216111111111,20.8833333333325
"26","A","NF","M.a.","P+L","Legumes",0.466753,1.07617,1.07576166666667,0.368761388888889,979.916111111111,4.08333333333344
"27","A","NF","T.p.","P+L","Legumes",0.459575,1.07544,1.07576166666667,0.368761388888889,908.136111111111,NA
"28","A","NF","L.c.","P+L","Legumes",0.45622,1.07718,1.07576166666667,0.368761388888889,874.586111111111,14.183333333333
"29","A","NF","M.s.","P+L","Legumes",0.391308,1.07533,1.07576166666667,0.368761388888889,225.466111111111,NA
"3","A","NF","A.o.","P","Grass",0.369744,1.0765,1.07576166666667,0.368761388888889,9.82611111111142,7.38333333333285
"30","A","NF","T.r.","P+L","Legumes",0.450126,1.07569,1.07576166666667,0.368761388888889,813.646111111112,NA
"30","A","NF","T.r.","P+L","Legumes",0.45027,1.07607,1.07576166666667,0.368761388888889,815.086111111111,3.08333333333355
"32","A","NF","F.o.","L","Grass",0.404491,1.07499,1.07576166666667,0.368761388888889,357.296111111111,NA
"33","A","NF","A.o.","L","Grass",0.457086,1.07457,1.07576166666667,0.368761388888889,883.246111111111,NA
"33","A","NF","A.o.","L","Grass",0.456708,1.07481,1.07576166666667,0.368761388888889,879.466111111111,NA
"34","A","NF","D.g.","L","Grass",0.414045,1.0748,1.07576166666667,0.368761388888889,452.836111111111,NA
"35","A","NF","H.l.","L","Grass",0.420967,1.07495,1.07576166666667,0.368761388888889,522.056111111111,NA
"35","A","NF","H.l.","L","Grass",0.421279,1.07479,1.07576166666667,0.368761388888889,525.176111111111,NA
"36","A","NF","G.v.","L","Forb",0.411444,1.07543,1.07576166666667,0.368761388888889,426.826111111111,NA
"38","A","NF","P.l.","L","Forb",0.417497,1.07471,1.07576166666667,0.368761388888889,487.356111111111,NA
"38","A","NF","P.l.","L","Forb",0.417775,1.07449,1.07576166666667,0.368761388888889,490.136111111111,NA
"39","A","NF","C.n.","L","Forb",0.395231,1.07489,1.07576166666667,0.368761388888889,264.696111111111,NA
"4","A","NF","D.g.","P","Grass",0.369064,1.07631,1.07576166666667,0.368761388888889,3.02611111111128,5.48333333333373
"40","A","NF","R.a.","L","Forb",0.397936,1.07468,1.07576166666667,0.368761388888889,291.746111111111,NA
"41","A","NF","M.a.","L","Legumes",0.436222,1.07488,1.07576166666667,0.368761388888889,674.606111111111,NA
"42","A","NF","T.p.","L","Legumes",0.4221,1.07543,1.07576166666667,0.368761388888889,533.386111111111,NA
"43","A","NF","L.c.","L","Legumes",0.444278,1.07465,1.07576166666667,0.368761388888889,755.166111111111,NA
"44","A","NF","M.s.","L","Legumes",0.407776,1.07397,1.07576166666667,0.368761388888889,390.146111111112,NA
"45","A","NF","T.r.","L","Legumes",0.425669,1.07485,1.07576166666667,0.368761388888889,569.076111111111,NA
"46","A","NF",NA,"T","Temoins",0.368737,1.07555,1.07576166666667,0.368761388888889,NA,NA
"47","A","NF",NA,"T","Temoins",0.368321,1.07517,1.07576166666667,0.368761388888889,NA,NA
"5","A","NF","H.l.","P","Grass",0.366311,1.07491,1.07576166666667,0.368761388888889,NA,NA
"6","A","NF","G.v.","P","Forb",0.368664,1.07558,1.07576166666667,0.368761388888889,NA,NA
"7","A","NF","C.r.","P","Forb",0.36895,1.07472,1.07576166666667,0.368761388888889,1.88611111111125,NA
"8","A","NF","P.l.","P","Forb",0.368727,1.07507,1.07576166666667,0.368761388888889,NA,NA
"9","A","NF","C.n.","P","Forb",0.369145,1.07506,1.07576166666667,0.368761388888889,3.83611111111126,NA
"10","B","F","R.a.","P","Forb",0.372368,1.0928,1.07642837209302,0.36976428,26.0371999999998,163.716279069768
"11","B","F","M.a.","P","Legumes",0.369605,1.11049,1.07642837209302,0.36976428,NA,340.616279069768
"12","B","F","T.p.","P","Legumes",0.370541,1.08897,1.07642837209302,0.36976428,7.76720000000009,125.416279069768
"12","B","F","T.p.","P","Legumes",0.370238,1.08917,1.07642837209302,0.36976428,4.73720000000011,127.416279069767
"13","B","F","L.c.","P","Legumes",0.369444,1.10654,1.07642837209302,0.36976428,NA,301.116279069769
"14","B","F","M.s.","P","Legumes",0.370035,1.11653,1.07642837209302,0.36976428,2.70720000000002,401.016279069768
"15","B","F","T.r.","P","Legumes",0.370003,1.08178,1.07642837209302,0.36976428,2.38720000000026,53.5162790697674
"17","B","F","F.o.","P+L","Grass",0.400385,1.088,1.07642837209302,0.36976428,306.2072,115.716279069769
"18","B","F","A.o.","P+L","Grass",0.432486,1.08357,1.07642837209302,0.36976428,627.2172,71.416279069767
"19","B","F","D.g.","P+L","Grass",0.417517,1.0828,1.07642837209302,0.36976428,477.5272,63.7162790697676
"2","B","F","F.o.","P","Grass",0.369986,1.09298,1.07642837209302,0.36976428,2.21719999999981,165.516279069768
"20","B","F","H.l.","P+L","Grass",0.403783,1.08941,1.07642837209302,0.36976428,340.1872,129.816279069768
"21","B","F","G.v.","P+L","Forb",0.417793,1.0858,1.07642837209302,0.36976428,480.2872,93.7162790697688
