Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;DON
38;B;P.l.;Forbs;L;873,346938775510;108,5000000000000;66,14378751851851;83,2816853518518;6,95;6,00;0,183559633;158,0816326530612;1031,428571428571;83,2816853518518;191,7777777777778;17,137897833333341
39;B;C.n.;Forbs;L;981,142857142857;128,7222222222222;77,80983512962962;94,6892173518519;5,83;6,20;0,152951904;155,5306122448980;1136,673469387755;94,6892173518519;223,4074074074074;16,879382222222233
40;B;R.a.;Forbs;L;736,632653061224;99,9814814814815;60,14702337037036;76,4449264814815;6,06;6,17;0,146960521;154,5714285714286;891,204081632653;76,4449264814815;176,4259259259259;16,297903111111111
41;B;M.a.;Leg;L;842,387755102041;120,5925925925926;53,60446548148148;64,4199944444444;5,50;5,97;0,162362721;114,1224489795918;956,510204081633;64,4199944444444;185,0185185185185;10,815528962962965
42;B;T.p.;Leg;L;826,897959183673;129,0370370370370;92,33773087037036;107,5958174444444;5,81;5,82;0,314232401;119,3877551020408;946,285714285714;107,5958174444444;236,6296296296296;15,258086574074085
43;B;L.c.;Leg;L;923,122448979592;128,6481481481481;68,18294701851852;88,2523914629630;8,29;6,18;0,156749007;161,9387755102041;1085,061224489796;88,2523914629630;216,9074074074074;20,069444444444443
44;B;M.s.;Leg;L;889,612244897959;107,2962962962963;135,40044144444443;159,6031022777778;7,15;5,97;0,229441225;186,7755102040816;1076,367346938775;159,6031022777778;266,9074074074074;24,202660833333340
45;B;T.r.;Leg;L;748,469387755102;86,3148148148148;22,25241546296296;68,2407407407407;7,47;6,40;0,267417391;165,2653061224490;913,734693877551;68,2407407407407;154,5555555555555;45,988325277777776
46;B;NA;NA;T;734,326530612245;80,5740740740741;113,93213170370370;136,8232029259259;5,19;5,70;0,135054704;144,4489795918367;878,755102040816;136,8232029259259;217,4074074074074;22,891071222222223
47;B;NA;NA;T;802,897959183673;98,1111111111111;61,44814090740740;76,5818656296296;6,39;6,12;0,184861057;128,7755102040816;931,673469387755;76,5818656296296;174,6851851851852;15,133724722222233
