Numero;Bloc;Sp;mod;gf;nlabel.recovered;Type;Label13CPerG_Soil;prop.label.recovered
25;C;R.a.;P+L;Forb;359,3088104457915;Root;1,82979700271665e+02;5,09254699445425e-01
25;C;R.a.;P+L;Forb;359,3088104457915;Soil.F;7,83109993630639e-03;2,17949009560618e-05
25;C;R.a.;P+L;Forb;359,3088104457915;Soil.NF;2,12616484476336e-04;5,91737464529591e-07
26;A;M.a.;P+L;Legumes;168,2104941428946;Shoot;1,50120581949090e+02;8,92456696676501e-01
26;A;M.a.;P+L;Legumes;168,2104941428946;Root;1,80857193738360e+01;1,07518377292633e-01
26;A;M.a.;P+L;Legumes;168,2104941428946;Soil.F;4,19281996899258e-03;2,49260308660099e-05
26;A;M.a.;P+L;Legumes;168,2104941428946;Soil.NF;2,60336166623174e-04;1,54768088608086e-06
26;B;M.a.;P+L;Legumes;446,0131197049562;Shoot;2,76654136161371e+02;6,20282507259835e-01
26;B;M.a.;P+L;Legumes;446,0131197049562;Root;1,69336273515488e+02;3,79666574892474e-01
26;B;M.a.;P+L;Legumes;446,0131197049562;Soil.F;2,27100280974057e-02;5,09178476911816e-05
26;B;M.a.;P+L;Legumes;446,0131197049562;Soil.NF;2,07554498043319e-04;4,65355140630435e-07
26;C;M.a.;P+L;Legumes;765,1337789500443;Shoot;4,89447743239540e+02;6,39689106277840e-01
26;C;M.a.;P+L;Legumes;765,1337789500443;Root;2,75655971054202e+02;3,60271600389244e-01
26;C;M.a.;P+L;Legumes;765,1337789500443;Soil.F;3,00646563016009e-02;3,92933329160518e-05
26;C;M.a.;P+L;Legumes;765,1337789500443;Soil.NF;9,09258013004682e-04;1,18836475139343e-06
27;A;T.p.;P+L;Legumes;554,4510512695194;Shoot;5,34219430713971e+02;9,63510538019137e-01
27;A;T.p.;P+L;Legumes;554,4510512695194;Root;2,02287961881096e+01;3,64843679920742e-02
27;A;T.p.;P+L;Legumes;554,4510512695194;Soil.F;2,82436743918574e-03;5,09398878894507e-06
27;A;T.p.;P+L;Legumes;554,4510512695194;Soil.NF;1,18782528874309e-04;2,14234473182681e-07
27;B;T.p.;P+L;Legumes;631,1337934816459;Shoot;4,33887528332727e+02;6,87473136146281e-01
27;B;T.p.;P+L;Legumes;631,1337934816459;Root;1,97232870491275e+02;3,12505640687121e-01
27;B;T.p.;P+L;Legumes;631,1337934816459;Soil.F;1,33946576442457e-02;2,12231665972980e-05
27;B;T.p.;P+L;Legumes;631,1337934816459;Soil.NF;8,09444969741533e-05;1,28252516043585e-07
27;C;T.p.;P+L;Legumes;1033,3481120702531;Shoot;9,61580753874942e+02;9,30548711168079e-01
27;C;T.p.;P+L;Legumes;1033,3481120702531;Root;7,17585303140084e+01;6,94427458431644e-02
27;C;T.p.;P+L;Legumes;1033,3481120702531;Soil.F;8,82788130300522e-03;8,54298875653731e-06
27;C;T.p.;P+L;Legumes;1033,3481120702531;Soil.NF;6,94294834651699e-04;6,71888617728947e-07
28;A;L.c.;P+L;Legumes;228,4957998606434;Shoot;1,58551694987047e+02;6,93893257923104e-01
28;A;L.c.;P+L;Legumes;228,4957998606434;Root;6,99374274734433e+01;3,06077518781952e-01
28;A;L.c.;P+L;Legumes;228,4957998606434;Soil.F;6,67740015269628e-03;2,92232949435777e-05
28;A;L.c.;P+L;Legumes;228,4957998606434;Soil.NF;4,15564320856046e-04;1,81869566578245e-06
28;B;L.c.;P+L;Legumes;986,4356991149656;Shoot;5,23036982913075e+02;5,30229170925532e-01
28;B;L.c.;P+L;Legumes;986,4356991149656;Root;4,63369764430446e+02;4,69741479192393e-01
28;B;L.c.;P+L;Legumes;986,4356991149656;Soil.F;2,89517714443992e-02;2,93498820758158e-05
28;B;L.c.;P+L;Legumes;986,4356991149656;Soil.NF;1,56204940987573e-03;1,58352887195507e-06
28;C;L.c.;P+L;Legumes;760,0302166008937;Shoot;4,67858131400307e+02;6,15578329888940e-01
28;C;L.c.;P+L;Legumes;760,0302166008937;Root;2,92157917420493e+02;3,84403029036293e-01
28;C;L.c.;P+L;Legumes;760,0302166008937;Soil.F;1,41677800931491e-02;1,86410747674114e-05
28;C;L.c.;P+L;Legumes;760,0302166008937;Soil.NF;6,68830804259672e-04;8,80005544057057e-07
29;A;M.s.;P+L;Legumes;170,1304852130196;Shoot;1,65214625336292e+02;9,71105355571208e-01
29;A;M.s.;P+L;Legumes;170,1304852130196;Root;4,91402936890157e+00;2,88838849942075e-02
29;A;M.s.;P+L;Legumes;170,1304852130196;Soil.F;1,83050782641544e-03;1,07594345841280e-05
29;A;M.s.;P+L;Legumes;170,1304852130196;Soil.NF;8,64244198890939e-05;5,07989028426518e-07
29;B;M.s.;P+L;Legumes;431,9789140891136;Shoot;4,00929854079179e+02;9,28123667620662e-01
29;B;M.s.;P+L;Legumes;431,9789140891136;Root;3,10427291971289e+01;7,18616770047371e-02
29;B;M.s.;P+L;Legumes;431,9789140891136;Soil.F;6,33081280554722e-03;1,46553746006251e-05
29;B;M.s.;P+L;Legumes;431,9789140891136;Soil.NF;1,26083780916571e-04;2,91874850378833e-07
29;C;M.s.;P+L;Legumes;946,9697726516264;Shoot;7,67242612424105e+02;8,10208133967926e-01
29;C;M.s.;P+L;Legumes;946,9697726516264;Root;1,79702912296478e+02;1,89766260218939e-01
29;C;M.s.;P+L;Legumes;946,9697726516264;Soil.F;2,42479310432969e-02;2,56058131353019e-05
29;C;M.s.;P+L;Legumes;946,9697726516264;Soil.NF;1,20141533877972e-03;1,26869449635717e-06
30;A;T.r.;P+L;Legumes;84,0967748114352;Shoot;7,00905702978148e+01;8,33451347628662e-01
30;A;T.r.;P+L;Legumes;84,0967748114352;Root;1,40042148232002e+01;1,66524992838322e-01
30;A;T.r.;P+L;Legumes;84,0967748114352;Soil.F;1,98969042014478e-03;2,36595330154592e-05
30;A;T.r.;P+L;Legumes;84,0967748114352;Soil.NF;1,87843540221473e-04;2,23365926508671e-06
30;B;T.r.;P+L;Legumes;409,5723147011128;Shoot;3,55295331790337e+02;8,67478877447113e-01
30;B;T.r.;P+L;Legumes;409,5723147011128;Root;5,42720523993136e+01;1,32509084357713e-01
30;B;T.r.;P+L;Legumes;409,5723147011128;Soil.F;4,93051146197201e-03;1,20381951733483e-05
30;B;T.r.;P+L;Legumes;409,5723147011128;Soil.NF;2,73104168831939e-04;6,66803294630004e-07
30;C;T.r.;P+L;Legumes;215,1022249314915;Shoot;2,01989304861561e+02;9,39038659064979e-01
30;C;T.r.;P+L;Legumes;215,1022249314915;Root;1,31106626408339e+01;6,09508462546565e-02
30;C;T.r.;P+L;Legumes;215,1022249314915;Soil.F;2,25742909628063e-03;1,04946803641831e-05
30;C;T.r.;P+L;Legumes;215,1022249314915;Soil.NF;4,21974840340804e-04;1,96174093724600e-06
