Numero;Bloc;Sp;mod;gf;nlabel.recovered;Type;Label13CPerG_Soil;prop.label.recovered
5;B;H.l.;P;Grass;458,4489788045519;Soil.NF;9,52821688067664e-05;2,07835927686486e-07
5;C;H.l.;P;Grass;314,6012055286534;Shoot;2,55719107684872e+02;8,12835752663960e-01
5;C;H.l.;P;Grass;314,6012055286534;Root;5,88803954361382e+01;1,87158836016525e-01
5;C;H.l.;P;Grass;314,6012055286534;Soil.F;1,70240764309208e-03;5,41131951554786e-06
5;C;H.l.;P;Grass;314,6012055286534;Soil.NF;1,32054356632563e-04;4,19751591258716e-07
6;A;G.v.;P;Forb;157,3264605290846;Shoot;1,37324147921753e+02;8,72861103338466e-01
6;A;G.v.;P;Forb;157,3264605290846;Root;1,99972373005936e+01;1,27106636946788e-01
6;A;G.v.;P;Forb;157,3264605290846;Soil.F;5,07530673858152e-03;3,22597147454624e-05
6;A;G.v.;P;Forb;157,3264605290846;Soil.NF;1,03165435729949e-04;6,55741160024871e-07
6;B;G.v.;P;Forb;550,9014396512931;Shoot;5,06032881840474e+02;9,18554291963333e-01
6;B;G.v.;P;Forb;550,9014396512931;Root;4,48622155678468e+01;8,14341955545505e-02
6;B;G.v.;P;Forb;550,9014396512931;Soil.F;6,34224297208746e-03;1,15124821167684e-05
6;B;G.v.;P;Forb;550,9014396512931;Soil.NF;NA;NA
6;C;G.v.;P;Forb;584,1688888132096;Shoot;5,02876806501384e+02;8,60841472614234e-01
6;C;G.v.;P;Forb;584,1688888132096;Root;8,12810018353345e+01;1,39139559452514e-01
6;C;G.v.;P;Forb;584,1688888132096;Soil.F;1,10804764908095e-02;1,89679332518382e-05
6;C;G.v.;P;Forb;584,1688888132096;Soil.NF;2,98319635845288e-04;5,10673610933561e-07
7;A;C.r.;P;Forb;124,6854539826591;Shoot;1,13022238540943e+02;9,06458892603957e-01
7;A;C.r.;P;Forb;124,6854539826591;Root;1,16626652034700e+01;9,35366943853134e-02
7;A;C.r.;P;Forb;124,6854539826591;Soil.F;5,50238246266365e-04;4,41301072972707e-06
7;A;C.r.;P;Forb;124,6854539826591;Soil.NF;0,00000000000000e+00;0,00000000000000e+00
7;B;C.r.;P;Forb;365,0740682891821;Shoot;3,48927810542916e+02;9,55772652322498e-01
7;B;C.r.;P;Forb;365,0740682891821;Root;1,61430102889166e+01;4,42184523391825e-02
7;B;C.r.;P;Forb;365,0740682891821;Soil.F;3,24745734921275e-03;8,89533831978550e-06
7;B;C.r.;P;Forb;365,0740682891821;Soil.NF;1,26586928275810e-04;3,46743138643136e-07
7;C;C.r.;P;Forb;213,8521004027349;Shoot;1,98680500540061e+02;9,29055642501981e-01
7;C;C.r.;P;Forb;213,8521004027349;Root;1,51695575057727e+01;7,09348071737655e-02
7;C;C.r.;P;Forb;213,8521004027349;Soil.F;2,04235690109893e-03;9,55032425331659e-06
7;C;C.r.;P;Forb;213,8521004027349;Soil.NF;1,45497709508911e-04;6,80366053150305e-07
8;A;P.l.;P;Forb;148,4330609409151;Shoot;1,34317143434188e+02;9,04900448611340e-01
8;A;P.l.;P;Forb;148,4330609409151;Root;1,41144072923680e+01;9,50893770087133e-02
8;A;P.l.;P;Forb;148,4330609409151;Soil.F;1,51021435870935e-03;1,01743799470019e-05
