Numero;Bloc;Sp;gf;mod;Group;gBiomPerM2;MN.perM2
20;A;H.l.;Grass;P+L;Gpos;37,03809754107652;364250000,368031621
21;A;G.v.;Forbs;P+L;AMF;44,82459689224526;411633083,887945831
21;A;G.v.;Forbs;P+L;SaproF;56,30947710138113;649591713,669887781
21;A;G.v.;Forbs;P+L;Gneg;16,22109582373498;277642703,000832200
21;A;G.v.;Forbs;P+L;Gpos;24,90799260262731;654641209,124512672
23;A;P.l.;Forbs;P+L;AMF;47,15486186543249;260937789,452891797
23;A;P.l.;Forbs;P+L;SaproF;67,86593800077596;540490091,890598536
23;A;P.l.;Forbs;P+L;Gneg;17,60994446760493;199029120,149972647
23;A;P.l.;Forbs;P+L;Gpos;26,44145768779414;448715878,029949069
24;A;C.n.;Forbs;P+L;AMF;56,73156239199587;249059602,808795899
24;A;C.n.;Forbs;P+L;SaproF;72,86890805030424;410902066,986978471
24;A;C.n.;Forbs;P+L;Gneg;20,13918815909196;168584678,648287505
24;A;C.n.;Forbs;P+L;Gpos;30,39975729876726;384126629,994298637
25;A;R.a.;Forbs;P+L;AMF;29,39282352156086;171782874,114265800
25;A;R.a.;Forbs;P+L;SaproF;82,28615899769476;1346327855,935608387
25;A;R.a.;Forbs;P+L;Gneg;11,77294110192016;212732522,802911401
25;A;R.a.;Forbs;P+L;Gpos;18,53139190273521;527084237,830247939
26;A;M.a.;Leg;P+L;AMF;50,59879467064336;279610642,022715449
26;A;M.a.;Leg;P+L;SaproF;95,05684354944509;986824973,911365509
26;A;M.a.;Leg;P+L;Gneg;18,71425243531322;258518413,800206363
26;A;M.a.;Leg;P+L;Gpos;26,42497448080500;515437093,010110319
27;A;T.p.;Leg;P+L;AMF;29,56729034988793;347785318,186747909
27;A;T.p.;Leg;P+L;SaproF;51,87434340101183;1070516627,975125194
27;A;T.p.;Leg;P+L;Gneg;11,63283417054494;310377791,883494794
27;A;T.p.;Leg;P+L;Gpos;17,95512991615348;739429322,081967235
28;A;L.c.;Leg;P+L;AMF;52,20727989812624;415979828,220596552
28;A;L.c.;Leg;P+L;SaproF;69,73144075823618;742108516,817457438
28;A;L.c.;Leg;P+L;Gneg;19,08931637870449;299314618,061477363
28;A;L.c.;Leg;P+L;Gpos;28,36815293005911;661011925,763958097
29;A;M.s.;Leg;P+L;AMF;36,14641027176723;181086361,930310726
29;A;M.s.;Leg;P+L;SaproF;85,76050098470354;1019365697,579130411
29;A;M.s.;Leg;P+L;Gneg;18,56737482267424;311552766,412927806
29;A;M.s.;Leg;P+L;Gpos;20,59356447529474;383260136,665302873
30;A;T.r.;Leg;P+L;AMF;35,99768652863040;328372105,123122871
30;A;T.r.;Leg;P+L;SaproF;62,19585086966064;980256888,165869474
30;A;T.r.;Leg;P+L;Gneg;18,03985830519545;451726859,707339764
30;A;T.r.;Leg;P+L;Gpos;19,50844257533045;528268688,047789395
